topic	sentence_1	sentence_2	label
Cryptocurrency	The wallet is like a virtual bank account, allowing users to make interpersonal or merchant transactions or save their money.	like Bitcoin, these currencies have the ability to make global payments possible and can redistribute wealth in ways that conventional means cannot.	NS
Cryptocurrency	The wallet is like a virtual bank account, allowing users to make interpersonal or merchant transactions or save their money.	Traditionally Litecoin mining has been more efficient with Radeon GPUs, but recent improvements in mining software for NVIDIA cards has significantly increased their efficiency.	NS
Cryptocurrency	Also, some of the innovations that developers of alternative coins see as advantages could become disadvantages in the long run.	Cryptocurrencies, which enthusiasts are currently following, can be saved to the Pinned Rates for quick and easy access at users' convenience.	NS
Cryptocurrency	Litecoin (LTC)Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world.	The new initiative will allow merchants to accept NXT and other virtual currencies as payment on their online stores and easily exchange it for fiat money.	SS
Cryptocurrency	<> Bitcoin's high cryptographic security allows it to process transactions in a very efficient and inexpensive way.	Within the realm of cryptocurrency cloud computing can be a critical asset that goes beyond file-sharing convenience or entertainment download portability and access.	NS
Cryptocurrency	Transactions are processed with minimal fees, enabling users to avoid the higher wire transfer fees charged by most financial institutions.	Virtual currencies will not be treated as money, but Texans can use them to buy and sell goods and services free of regulation.	NS
Cryptocurrency	"They can be ""mined"" into existence, but the amount of resources required for that are tremendous as the global pool of Bitcoins grows."	Within the realm of cryptocurrency cloud computing can be a critical asset that goes beyond file-sharing convenience or entertainment download portability and access.	NS
Cryptocurrency	The right individual will thrive in a ...Are you looking for a rewarding sales career in a fast-paced environment with an established company?	However, current combustion techniques that use such fuels have problems with achieving environmentally-acceptable air/exhaust emissions and can also benefit from increased combustion efficiency.	DTORCD
Cryptocurrency	Virtual currencies will not be treated as money, but Texans can use them to buy and sell goods and services free of regulation.	Traditionally Litecoin mining has been more efficient with Radeon GPUs, but recent improvements in mining software for NVIDIA cards has significantly increased their efficiency.	NS
Cryptocurrency	like Bitcoin, these currencies have the ability to make global payments possible and can redistribute wealth in ways that conventional means cannot.	Virtual currencies will not be treated as money, but Texans can use them to buy and sell goods and services free of regulation.	NS
Cryptocurrency	This will reduce the lifespan of any computer - potentially quite significantly.	like Bitcoin, these currencies have the ability to make global payments possible and can redistribute wealth in ways that conventional means cannot.	DTORCD
Cryptocurrency	It lowers the cost of producing a means of exchange - a money system - down to almost zero.	"They can be ""mined"" into existence, but the amount of resources required for that are tremendous as the global pool of Bitcoins grows."	NS
Cryptocurrency	"""It's safe and easy with minimal fees,"" he said."	Similar to Bitcoin, Primecoin enables instant payments to anyone, anywhere in the world.	SS
Cryptocurrency	* Developers are disincentivized to allow novel additions or changes to an established currency since it could potentially reduce their influence or wealth.	And if more people are using the channels for digital currency, that certainly legitimises far more instances of mobile money and mobile wallets.	NS
Cryptocurrency	Bitcoin is growing both in consumer and small business owner demand for its use due to cost savings, efficiency and global transfer ease.	"They can be ""mined"" into existence, but the amount of resources required for that are tremendous as the global pool of Bitcoins grows."	NS
Cryptocurrency	"""It's safe and easy with minimal fees,"" he said."	Traditionally Litecoin mining has been more efficient with Radeon GPUs, but recent improvements in mining software for NVIDIA cards has significantly increased their efficiency.	NS
Cryptocurrency	"This included special protections for vulnerable populations, which includes pregnant women, children, the mentally ill, the ""disabled"", the homeless, and...prisoners."	There are many reasons why someone would hire a professional Venice Virtual Reality photographer ... Some Virtual Reality photographers offer video shooting as well.	DTORCD
Cryptocurrency	"They can be ""mined"" into existence, but the amount of resources required for that are tremendous as the global pool of Bitcoins grows."	Every single GAM that is purchased this way will be permanently burned, steadily reducing the total supply of Gambit so long as trading remains profitable.*	NS
Cryptocurrency	Since any given currency gains use value as the number of its users increase, popularity of a certain currency is integral in that currency's success.	Every single GAM that is purchased this way will be permanently burned, steadily reducing the total supply of Gambit so long as trading remains profitable.*	NS
Cryptocurrency	This will reduce the lifespan of any computer - potentially quite significantly.	With Maza Coin, businesses and citizens can reduce their dependence on the dollar, and instead establish wealth that puts individuals in control.	DTORCD
Cryptocurrency	The service will also offer online and offline options to securely pay bills and deposit or pickup cash worldwide via cryptocurrencies.	[Then], as the currency matures, we can extend, so people can pay their rents and utilities, [or] pay for food through this sort of service.	SS
Cryptocurrency	Litecoin (LTC)Litecoin is a peer-to-peer Internet currency that enables instant, near-zero cost payments to anyone in the world.	Within the realm of cryptocurrency cloud computing can be a critical asset that goes beyond file-sharing convenience or entertainment download portability and access.	NS
Cryptocurrency	Alternative cryptocurrencies have also skyrocketed in popularity over the same period, increasing the demand for easy access to vital market information.	Cryptocurrencies, for instance, could fuel an underground economy in which vendors can accept substantially lower prices for their goods and services.	NS
Cryptocurrency	Transactions are processed with minimal fees, enabling users to avoid the higher wire transfer fees charged by most financial institutions.	The wallet is like a virtual bank account, allowing users to make interpersonal or merchant transactions or save their money.	NS
Cryptocurrency	This will reduce the lifespan of any computer - potentially quite significantly.	"Bitcoins are created digitally through a ""mining"" process that requires powerful computers to solve complex algorithms and crunch numbers."	DTORCD
Cryptocurrency	That's even harder to detect, according to Seidel's calculations.	There are electric car conversion companies willing to assist in this pursuit.	DTORCD
Cryptocurrency	Similar to Bitcoin, Primecoin enables instant payments to anyone, anywhere in the world.	"Bitcoins are created digitally through a ""mining"" process that requires powerful computers to solve complex algorithms and crunch numbers."	NS
Cryptocurrency	<> Bitcoin's high cryptographic security allows it to process transactions in a very efficient and inexpensive way.	And if more people are using the channels for digital currency, that certainly legitimises far more instances of mobile money and mobile wallets.	NS
Cryptocurrency	With support to as many as 12 languages, this new platform enables global users to experience fast, anonymous, and reliable currency swap.	[Then], as the currency matures, we can extend, so people can pay their rents and utilities, [or] pay for food through this sort of service.	NS
Cryptocurrency	It lowers the cost of producing a means of exchange - a money system - down to almost zero.	Such anonymity allows transactions to remain almost completely private, letting people buy or sell anything with no way to efficiently track them.	NS
Cryptocurrency	"Bitcoins are created digitally through a ""mining"" process that requires powerful computers to solve complex algorithms and crunch numbers."	Since any given currency gains use value as the number of its users increase, popularity of a certain currency is integral in that currency's success.	NS
Cryptocurrency	"""The greatest advantages of cryptocurrency-its ease of use, instantaneous delivery, accessibility and anonymity-are also its greatest vulnerabilities."	<> Bitcoin's high cryptographic security allows it to process transactions in a very efficient and inexpensive way.	SS
Cryptocurrency	But critics argue the anonymous nature of cryptocurrency transactions makes them well suited for potential illicit activities such as money laundering and tax evasion.	Probably the biggest practical use for cryptocurrencies is in international money transfers where the overheads of credit card fees and currency exchange margins are ridiculously high.	NS
Cryptocurrency	The reason being it is incredibly efficient, resistant to inflation, and decentralized.	It lowers the cost of producing a means of exchange - a money system - down to almost zero.	SS
Cryptocurrency	Alternative cryptocurrencies have also skyrocketed in popularity over the same period, increasing the demand for easy access to vital market information.	Bitcoin is growing both in consumer and small business owner demand for its use due to cost savings, efficiency and global transfer ease.	NS
Cryptocurrency	The wallet is like a virtual bank account, allowing users to make interpersonal or merchant transactions or save their money.	The program can transfer payments directly to merchants or individuals around the world, eliminating transaction fees and the need for bank or credit card information.	SS
Cryptocurrency	Minimally invasive robotic surgery, new robotic radiation treatment, and emerging robotic surgical approaches complement existing surgery techniques.	The Chinese government has already built entire new villages higher up the sides of valleys but there is reluctance among the citizenry to move.	DTORCD
Cryptocurrency	It lowers the cost of producing a means of exchange - a money system - down to almost zero.	This can also happen through the destruction of the physical media, effectively removing lost cryptocurrencies forever from their markets.	NS
Drones	What makes drones so attractive is the diminished human cost to the users.	Every target a drone has eliminated has saved the lives the Soldiers who would otherwise be called to eliminate those threats by hand.	SS
Drones	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	SS
Drones	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	DTORCD
Drones	Officers can enforce a reckless endangerment state law if a drone poses a safety risk to people.	And although drones have a remote wipe functionality, if the drone's already lost contact with its command center it wouldn't even receive this command.	NS
Drones	By allowing drones to invade our privacy without permission or warrant it violates our right to privacy.	The second major obstacle to the proliferation of drones is the fear that they will infringe on individuals' privacy.	HS
Drones	What makes drones so attractive is the diminished human cost to the users.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	NS
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	Every target a drone has eliminated has saved the lives the Soldiers who would otherwise be called to eliminate those threats by hand.	NS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	NS
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	NS
Drones	The leading industrial enterprises have recognised the significance of nanotechnology for their competitiveness and strongly invested in its development.	HCPB advocates are opposed to the use of electronic voting machines in our elections, including the storing and counting of votes,	DTORCD
Drones	What's worse is thatdrone use will exacerbate the targeting of vulnerable groups by law enforcement.	"The report also notes that ""non-military unmanned aircraft system GPS signals are unencrypted, risking potential interruption of command and control . ."	NS
Drones	What makes drones so attractive is the diminished human cost to the users.	UAVs and drones grant the military a way to eliminate that threat with absolutely no collateral damage to Soldiers' lives.	HS
Drones	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	Civilian Use As capabilities have increased and costs have decreased over the years, drone developers began to dream of more uses for drones.	Using an extremely durable plastic called Kydex, the company creates inexpensive but rugged drones capable of surviving everything from high-impact crashes to shotgun blasts.	NS
Drones	What's worse is thatdrone use will exacerbate the targeting of vulnerable groups by law enforcement.	Their extravagant cost and limited availability coupled with the rate of drone loss makes them rare, however.	NS
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	NS
Drones	Because it's the only way to get the fur off intact and in good condition.	Specifically, GAO described (1) how state and federal public health officials conduct surveillance for infectious diseases and (2) initiatives intended to enhance disease surveillance.	DTORCD
Drones	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	UAVs are smaller sized than military drones since they are meant for civilian use and they are affordable to purchase and rather inexpensive to operate.	SS
Drones	What makes drones so attractive is the diminished human cost to the users.	Additionally the larger sig radius improves the chance to hit and damage of turret weapons and increases the damage of missiles .	NS
Drones	For example: Drone Damage Amplifier will increase the damage output of fighters bombers.	"The primary reasons for the crashes: bad weather, loss or disruption of communications links, and ""human error factors""."	NS
Drones	This small device can provide a temporary wireless Internet connection wherever it flies.	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	NS
Drones	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	The Irish Aviation Authority confirmed that it has licensed eight users to operate unmanned aerial systems (UAS) or remotely piloted aircraft systems.org/wiki/Karrar_(UCAV)	NS
Drones	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	For example: Drone Damage Amplifier will increase the damage output of fighters.	EPIC said that aerial surveillance threatens privacy and property interests and that surveillance in the airspace close to a home violates the Fourth Amendment.	NS
Drones	Their extravagant cost and limited availability coupled with the rate of drone loss makes them rare, however.	Any heavy use of drones against a civilian population will likely result in the population invoking heavy reliance on smoke concealment for tactical movement.	NS
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	NS
Drones	It is also difficult to visualize the behavior of all the dimensions underlying individual security elements.	"While neither type of car produces pollution at the tailpipe, they both have the potential to produce pollution when their ""fuel"" is created."	DTORCD
Drones	Civilian Use As capabilities have increased and costs have decreased over the years, drone developers began to dream of more uses for drones.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	Civilian drones can be outfitted with software that collects video footage, recognizes faces, intercepts cell towers, scans entire cities, and much, much more.	NS
Drones	Civilian drones can be outfitted with software that collects video footage, recognizes faces, intercepts cell towers, scans entire cities, and much, much more.	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	DTORCD
Drones	"The primary reasons for the crashes: bad weather, loss or disruption of communications links, and ""human error factors""."	However their low speed and underwhelming 15% damage bonus over Tech One leave them without enough value to justify their cost for most players.	NS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	NS
Drones	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	UAVs are smaller sized than military drones since they are meant for civilian use and they are affordable to purchase and rather inexpensive to operate.	NS
Drones	Drones are portrayed as giving us the ability to easily and cleanly take out the bad guys without any risks.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	The village school reported higher attendance rates and that the children were better fed and more attentive.	"""Mapping in real-time for a biped humanoid is much harder than for wheeled vehicles not only because there is less constant contact with the ground."	DTORCD
Drones	Every target a drone has eliminated has saved the lives the Soldiers who would otherwise be called to eliminate those threats by hand.	A sentry drone cannot attack targets that are outside its owner's drone control range, even if they are within its own optimal range.	NS
Drones	UAVs and drones grant the military a way to eliminate that threat with absolutely no collateral damage to Soldiers' lives.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	HS
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	NS
Drones	The FAA has granted nearly 1,500 exemptions to commercial drone operators even as public safety risks and privacy concerns increase.	"""We won't hesitate to take strong enforcement actions against anyone who flies unmanned aircraft in an unsafe or illegal manner,"" Huerta said."	SS
Drones	People can pilot a drone from miles away without putting their lives in danger.	Every target a drone has eliminated has saved the lives the Soldiers who would otherwise be called to eliminate those threats by hand.	SS
Drones	Other law enforcement agencies such as the Border Patrol use surveillance drones to provide remote detection and monitoring of sensitive areas.	"""We won't hesitate to take strong enforcement actions against anyone who flies unmanned aircraft in an unsafe or illegal manner,"" Huerta said."	NS
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	The Irish Aviation Authority confirmed that it has licensed eight users to operate unmanned aerial systems (UAS) or remotely piloted aircraft systems.org/wiki/Karrar_(UCAV)	NS
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	SS
Drones	The major players are also enhancing their technological base, product portfolio, and geographical reach by acquiring other companies.	And all the personal data that this network produces will be so vast and intimate that it's genuinely rather frightening.	DTORCD
Drones	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	The Irish Aviation Authority confirmed that it has licensed eight users to operate unmanned aerial systems (UAS) or remotely piloted aircraft systems.org/wiki/Karrar_(UCAV)	NS
Drones	This allows them to do better damage against smaller, faster moving targets and also gives them a bit more range.	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	SS
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	NS
Drones	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	DTORCD
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	Using an extremely durable plastic called Kydex, the company creates inexpensive but rugged drones capable of surviving everything from high-impact crashes to shotgun blasts.	NS
Drones	Kamkar's drone can operate autonomously, flying around near his Los Angeles home encountering drones it can take over.	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	NS
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	NS
Drones	We created a novel DSD-genetic diagnostic tool, in which sex development genes are captured using RNA probes and undergo massively parallel sequencing.	You can also observe the Ubiquity Managed Store Did Change Notification which will be posted each time the availability of persistence stores changes (and always after your delegate is informed).	DTORCD
Drones	What's worse is thatdrone use will exacerbate the targeting of vulnerable groups by law enforcement.	"""We won't hesitate to take strong enforcement actions against anyone who flies unmanned aircraft in an unsafe or illegal manner,"" Huerta said."	NS
Drones	Not only could this lower the crime rate, drones can also make sure that we live in a safe environment.	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	Drones are portrayed as giving us the ability to easily and cleanly take out the bad guys without any risks.	UAVs are smaller sized than military drones since they are meant for civilian use and they are affordable to purchase and rather inexpensive to operate.	NS
Drones	They dream of drones taking photos for real estate agents and helping farmers survey their fields.	Using an extremely durable plastic called Kydex, the company creates inexpensive but rugged drones capable of surviving everything from high-impact crashes to shotgun blasts.	NS
Drones	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	SS
Drones	For example: Drone Damage Amplifier will increase the damage output of fighters.	However their low speed and underwhelming 15% damage bonus over Tech One leave them without enough value to justify their cost for most players.	SS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	NS
Drones	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	The Irish Aviation Authority confirmed that it has licensed eight users to operate unmanned aerial systems (UAS) or remotely piloted aircraft systems.org/wiki/Karrar_(UCAV)	NS
Drones	Their extravagant cost and limited availability coupled with the rate of drone loss makes them rare, however.	The FAA has granted nearly 1,500 exemptions to commercial drone operators even as public safety risks and privacy concerns increase.	NS
Drones	Civilian Use As capabilities have increased and costs have decreased over the years, drone developers began to dream of more uses for drones.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	What makes drones so attractive is the diminished human cost to the users.	This small device can provide a temporary wireless Internet connection wherever it flies.	NS
Drones	By doing so, the Yolo County Health Department can control and prevent disease, and save lives.	Hence, a given user can access the cloud data storage from any of his/her authorized client devices.	DTORCD
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	A sentry drone cannot attack targets that are outside its owner's drone control range, even if they are within its own optimal range.	NS
Drones	Civilian drones can be outfitted with software that collects video footage, recognizes faces, intercepts cell towers, scans entire cities, and much, much more.	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	SS
Drones	Beyond the military and law-enforcement applications, drones have the potential to benefit our lives in everything from disaster relief to assessing power lines.	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	Using an extremely durable plastic called Kydex, the company creates inexpensive but rugged drones capable of surviving everything from high-impact crashes to shotgun blasts.	NS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	SS
Drones	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	Drones are portrayed as giving us the ability to easily and cleanly take out the bad guys without any risks.	NS
Drones	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
Drones	"""We won't hesitate to take strong enforcement actions against anyone who flies unmanned aircraft in an unsafe or illegal manner,"" Huerta said."	This means source(s) here have estimates of # drone attacks, persons killed, injured, who are justified targets and who are alleged innocent victims, or collateral damage.	NS
Drones	What makes drones so attractive is the diminished human cost to the users.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	NS
Drones	[0007] However, traditional batteries even including the most powerful batteries such as Li batteries and alkali batteries cannot provide a continuous power supply.	Cryptocurrencies are math-based currencies which aren't controlled by any central entity, but instead by a distributed computer network which secures the payment network against fraud.	DTORCD
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	UAVs and drones grant the military a way to eliminate that threat with absolutely no collateral damage to Soldiers' lives.	Additionally the larger sig radius improves the chance to hit and damage of turret weapons and increases the damage of missiles .	SS
Drones	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	SS
Drones	This allows them to do better damage against smaller, faster moving targets and also gives them a bit more range.	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	NS
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	Civilian Use As capabilities have increased and costs have decreased over the years, drone developers began to dream of more uses for drones.	NS
Drones	This small device can provide a temporary wireless Internet connection wherever it flies.	Some drones can only hover while other drones can fly across oceans at great speeds.	NS
Drones	This small device can provide a temporary wireless Internet connection wherever it flies.	Kamkar's drone can operate autonomously, flying around near his Los Angeles home encountering drones it can take over.	NS
Drones	Civilian Use As capabilities have increased and costs have decreased over the years, drone developers began to dream of more uses for drones.	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	NS
Drones	Some drones can only hover while other drones can fly across oceans at great speeds.	Kamkar's drone can operate autonomously, flying around near his Los Angeles home encountering drones it can take over.	NS
Drones	Organ donation decision: comparison of donor and nondonor families.	There are other concerns surrounding the sharing economy, chiefly that peer-to-peer transactions aren't being reported as taxable income.	DTORCD
Drones	People can pilot a drone from miles away without putting their lives in danger.	They dream of drones taking photos for real estate agents and helping farmers survey their fields.	NS
Drones	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	NS
Drones	We are seeing advances in many drone construction techniques that will significantly increase capabilities and decrease cost.	Control systems allow drones to operate autonomously and they provide an interface with humans and off-board equipment.	NS
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	Using an extremely durable plastic called Kydex, the company creates inexpensive but rugged drones capable of surviving everything from high-impact crashes to shotgun blasts.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	Users who don't have a 3D printer can now simply create their designs in Microsoft's app.	These efforts are consistent with DOEs mission to decentralize domestic electric power generation and to accelerate the onset of the hydrogen economy.	DTORCD
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	If you want to disable it, configure appropriate capability to false: Web Driver expects a Java Object stored in Capabilities settings for some of the Web Driver capabilities.	DTORCD
Drones	Some drone apps connect you to other pilots enabling easy exchange of information.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	NS
Drones	UAVs and drones grant the military a way to eliminate that threat with absolutely no collateral damage to Soldiers' lives.	Beyond the military and law-enforcement applications, drones have the potential to benefit our lives in everything from disaster relief to assessing power lines.	SS
Drones	Kamkar's drone can operate autonomously, flying around near his Los Angeles home encountering drones it can take over.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	<> Drone Sharpshooting (1x): improves your drones optimal range, but it can lower your Sentry Drone's dps in certain scenarios.	Additionally the larger sig radius improves the chance to hit and damage of turret weapons and increases the damage of missiles .	SS
Drones	The Irish Aviation Authority confirmed that it has licensed eight users to operate unmanned aerial systems (UAS) or remotely piloted aircraft systems.org/wiki/Karrar_(UCAV)	As drones become more and more prevalent and useful, there is a need to make drones smarter and to allow them to operate in harsher environments.	NS
Drones	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	Technical Capabilities Surveillance drones are equipped with sophisticated imaging technology that provides the ability to obtain detailed photographs of terrain, people, homes, and even small objects.	NS
Drones	"""By virtue of their design, their size, and how high they can fly, [drones] can operate undetected in urban and rural environments."""	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	The system of claim 10 wherein said full screen sub-advertisement stream is updated by a remote source.	The instruments are used in the control of landfill gas, biogas, contaminated land remediation, food storage, security, odour control, biofuel and many more.	DTORCD
Drones	For example: Drone Damage Amplifier will increase the damage output of fighters bombers.	One such fear is that unmanned aerial vehicles flying in national air space will cause an increase in crashes.	NS
Drones	It can be easily operated from your smartphone device by downloading the ARFreeflight application.	Depending on the model, drones can be controlled remotely or they may be autonomous, buzzing across the skies, directed by GPS.	SS
Drones	By allowing drones to invade our privacy without permission or warrant it violates our right to privacy.	EPIC said that aerial surveillance threatens privacy and property interests and that surveillance in the airspace close to a home violates the Fourth Amendment.	HS
Drones	This allows them to do better damage against smaller, faster moving targets and also gives them a bit more range.	A sentry drone cannot attack targets that are outside its owner's drone control range, even if they are within its own optimal range.	NS
Drones	The drone also comes with 3-axis image stabilization that enables the drone to operate in different settings and at different speeds without affecting picture-taking abilities.	Recent advances in robotics, sensors and artificial intelligence are used to engineer a drone aircraft that can perform naval missions and land on aircraft carriers autonomously.	NS
Drones	Easy maintenance The Syma X5C drone is build with a modular design structure which facilitates easy maintenance.	A Drone Controller is an electronic device that can be used by the Tau to further enhance their connections and control over their robotic companions.	NS
